seq1,seq2,similarity
3,34,0.6321264505386353
97,179,0.6729543209075928
27,192,0.04884384199976921
89,110,0.762686550617218
97,136,0.5007111430168152
80,107,0.46552085876464844
35,177,0.6122189164161682
3,40,0.5920529961585999
35,196,0.5711411833763123
27,147,0.09254039078950882
23,77,0.05206725746393204
23,197,0.6282685995101929
89,123,0.5649300217628479
23,159,0.8240870833396912
98,103,0.4953415095806122
64,161,0.6191259622573853
92,168,0.6659144163131714
0,126,0.6746712923049927
10,21,0.41067537665367126
26,108,0.43280476331710815
72,130,0.6599247455596924
73,97,0.5325555205345154
39,125,0.51686692237854
0,161,0.2501877546310425
66,80,0.6600985527038574
0,191,0.32275861501693726
19,169,0.8615235686302185
73,107,0.7038451433181763
50,56,0.33811843395233154
10,47,0.8029801249504089
10,99,0.7389422655105591
72,103,0.4395102858543396
98,185,0.5567123889923096
56,102,0.46580877900123596
0,154,0.3390733599662781
92,141,0.5609679222106934
26,167,0.571200430393219
56,92,0.40659233927726746
19,20,0.7332611680030823
98,166,0.5909633636474609
39,183,0.5261693596839905
72,163,0.6340270042419434
54,181,0.33654412627220154
34,186,0.4393773674964905
68,129,0.6193344593048096
69,176,0.6138721704483032
90,127,0.43110987544059753
4,80,0.35081860423088074
29,137,0.81902676820755
52,117,0.3333599269390106
17,130,0.7778708934783936
55,152,0.214730903506279
55,193,0.7503592371940613
69,123,0.5048826336860657
20,60,0.25586628913879395
20,27,0.14659200608730316
29,148,0.35112711787223816
34,106,0.2641531229019165
52,106,0.35637950897216797
34,178,0.5144224762916565
13,41,0.2961426079273224
52,163,0.4663723409175873
52,152,0.9462214112281799
20,170,0.7133893370628357
17,26,0.5974738597869873
20,103,0.5856561660766602
21,189,0.5099958181381226
34,35,0.6365622878074646
90,189,0.5959445834159851
17,88,0.7621489763259888
5,164,0.14838345348834991
8,188,0.6041289567947388
8,161,0.3927028775215149
4,37,0.5223529934883118
5,178,0.4645834267139435
38,118,0.018413914367556572
8,198,0.6303314566612244
5,182,0.4438230097293854
12,27,0.02010885253548622
8,184,0.5496214032173157
5,157,0.3909139335155487
5,90,0.5273349285125732
94,98,0.7064645290374756
5,83,0.49545249342918396
9,127,0.6944206357002258
30,160,0.41306132078170776
76,103,0.2703975439071655
32,198,0.6519938111305237
7,18,0.36017483472824097
16,29,0.6092647314071655
25,124,0.815809965133667
9,16,0.6456558704376221
78,91,0.6327207088470459
7,105,0.37587738037109375
51,91,0.5305126309394836
25,159,0.5182245969772339
51,114,0.3199406862258911
9,165,0.44421058893203735
25,174,0.7339387536048889
51,198,0.6675065159797668
16,155,0.559482753276825
9,161,0.3911418318748474
25,164,0.33094826340675354
32,52,0.7630417943000793
78,139,0.5615267753601074
7,187,0.397489458322525
61,94,0.5924788117408752
12,117,0.34476321935653687
61,128,0.8203677535057068
84,124,0.7790276408195496
9,77,0.2979995608329773
12,165,0.251825213432312
78,146,0.6924359798431396
53,102,0.6584948897361755
53,98,0.45465487241744995
63,65,0.6703393459320068
65,192,0.8747622966766357
87,89,0.5052640438079834
14,138,0.5026652216911316
63,149,0.37276691198349
37,81,0.8080335259437561
65,161,0.654758095741272
14,108,0.4988136291503906
43,182,0.37859758734703064
58,128,0.6037014722824097
22,149,0.587570071220398
91,99,0.5706772208213806
15,151,0.2375340312719345
22,67,0.6924417614936829
14,100,0.44641441106796265
43,86,0.19427956640720367
87,152,0.36561858654022217
53,125,0.47740310430526733
58,163,0.5301335453987122
87,106,0.2936936914920807
37,173,0.7154078483581543
91,98,0.44687408208847046
53,183,0.702769935131073
63,193,0.2547292411327362
58,62,0.6289098858833313
87,95,0.2842695116996765
53,194,0.2694605588912964
86,188,0.7225134372711182
86,115,0.5359444618225098
28,81,0.3558637499809265
77,88,0.1854185312986374
77,183,0.19965878129005432
28,157,0.580742597579956
96,188,0.41131702065467834
2,157,0.32573872804641724
28,187,0.36714839935302734
28,102,0.6847010850906372
60,108,0.19477374851703644
60,129,0.33696693181991577
88,169,0.7922743558883667
86,167,0.7105041742324829
67,86,0.7147930264472961
36,115,0.691497266292572
99,162,0.5943529605865479
67,187,0.424863338470459
18,115,0.8231884241104126
45,180,0.5073623061180115
31,53,0.7474615573883057
24,29,0.5280069708824158
41,70,0.26600050926208496
18,198,0.6022621393203735
41,74,0.29689696431159973
93,140,0.3722282648086548
74,145,0.3183384835720062
93,191,0.41202011704444885
36,145,0.6533845663070679
18,19,0.6672134399414062
18,143,0.4836365878582001
59,170,0.6956287622451782
24,78,0.5560776591300964
36,69,0.5832892656326294
74,92,0.37555840611457825
24,172,0.2573973834514618
18,68,0.351896733045578
40,191,0.5858882665634155
41,160,0.10831941664218903
57,78,0.16220594942569733
41,178,0.3879570960998535
31,76,0.10056618601083755
41,133,0.3519013226032257
11,44,0.805854082107544
169,174,0.7392408847808838
158,165,0.25398001074790955
79,105,0.6555245518684387
62,83,0.8504430055618286
11,91,0.32304316759109497
146,187,0.5659641623497009
33,49,0.49542489647865295
146,170,0.6197564005851746
47,152,0.3704027533531189
11,132,0.7918809652328491
48,150,0.5306870937347412
70,135,0.3127509653568268
123,187,0.40304338932037354
44,196,0.6978902220726013
33,149,0.30237069725990295
11,163,0.5420990586280823
48,171,0.748792827129364
175,199,0.5993068814277649
62,155,0.5918347239494324
1,160,0.03731324151158333
48,65,0.34302762150764465
70,199,0.6449064612388611
123,149,0.38772231340408325
48,49,0.5665324330329895
33,53,0.2834298312664032
70,145,0.6124389171600342
48,139,0.3382189869880676
121,123,0.379590779542923
136,148,0.6826300621032715
188,196,0.5725265741348267
171,179,0.5692541599273682
