seq1,seq2,similarity
23,197,0.5643969774246216
97,119,0.5078896284103394
27,136,0.1629226803779602
97,117,0.3647841513156891
80,170,0.18269211053848267
3,121,0.4129396975040436
23,162,0.40746429562568665
3,40,0.6760427355766296
80,155,0.3451720178127289
27,128,0.42649635672569275
89,199,0.24795593321323395
89,155,0.2890145480632782
3,140,0.7171441912651062
97,154,0.497013121843338
50,79,0.28003692626953125
72,118,0.5210182070732117
19,137,0.34681564569473267
39,125,0.49119842052459717
92,166,0.2841344475746155
42,149,0.3835601508617401
72,111,0.12294776737689972
26,153,0.3047282099723816
72,78,0.5815702676773071
10,97,0.37262552976608276
42,105,0.15797396004199982
73,88,0.2719040811061859
42,82,0.20750591158866882
80,130,0.33314621448516846
64,86,0.2904050946235657
50,141,0.38012367486953735
0,183,0.4699544310569763
19,84,0.33923739194869995
98,137,0.3226654529571533
10,70,0.11464937776327133
0,60,0.08906549960374832
26,125,0.2684861421585083
0,180,0.29610541462898254
26,37,0.4032522737979889
0,151,0.4577174484729767
19,21,0.2736070156097412
64,80,0.3433343470096588
0,181,0.5530847907066345
52,63,0.4704790711402893
52,76,0.3758962154388428
34,107,0.13365592062473297
21,128,0.38978061079978943
20,84,0.4028047025203705
29,58,0.42636623978614807
21,154,0.25746676325798035
29,69,0.6144726872444153
68,128,0.4441471993923187
17,90,0.41392239928245544
21,186,0.22930343449115753
17,25,0.28421202301979065
54,89,0.3856180012226105
68,72,0.5744365453720093
20,152,0.3184885084629059
68,167,0.5578810572624207
17,92,0.16770103573799133
34,75,0.3623906075954437
20,39,0.3342895805835724
90,125,0.46823105216026306
21,164,0.38670334219932556
21,197,0.2690214514732361
52,58,0.21939030289649963
34,159,0.2835480272769928
21,84,0.16449867188930511
13,26,0.3755798637866974
90,177,0.4012627601623535
90,144,0.5060539245605469
94,127,0.18241460621356964
71,107,0.18963228166103363
71,97,0.45467445254325867
75,85,0.40057581663131714
8,18,0.5037602186203003
4,102,0.13202038407325745
38,63,0.4097435772418976
5,83,0.40268534421920776
38,59,0.279296338558197
5,43,0.3782612383365631
38,194,0.2390958070755005
8,86,0.326291561126709
38,182,0.3304004669189453
38,199,0.14381805062294006
12,38,0.20182429254055023
61,199,0.31369131803512573
12,18,0.161567822098732
25,87,0.2454114556312561
16,18,0.3912120759487152
78,127,0.21316282451152802
9,102,0.584660530090332
7,69,0.42608147859573364
78,89,0.3806125521659851
30,145,0.4330790936946869
16,102,0.5844317674636841
76,131,0.27020755410194397
78,188,0.26671457290649414
76,126,0.29409074783325195
9,35,0.4875339865684509
78,85,0.6021309494972229
9,124,0.45142078399658203
61,179,0.27361953258514404
51,129,0.42406442761421204
7,35,0.5399430394172668
84,125,0.3576197326183319
12,176,0.1166825219988823
25,62,0.4501757323741913
32,153,0.31111860275268555
51,178,0.35487234592437744
12,87,0.031166259199380875
51,55,0.4048782289028168
78,164,0.3594225347042084
38,134,0.2522597014904022
49,62,0.4912935495376587
53,99,0.27980461716651917
37,58,0.17703662812709808
15,20,0.3792082965373993
9,133,0.4000227749347687
58,126,0.34301912784576416
63,97,0.5051576495170593
14,168,0.2089182734489441
22,50,0.3581494688987732
87,141,0.11848749965429306
46,190,0.5760477185249329
63,179,0.36595669388771057
22,145,0.20264461636543274
53,100,0.09705715626478195
95,99,0.34766459465026855
14,29,0.1695002019405365
46,100,0.3330160081386566
58,143,0.4323759078979492
63,198,0.43321502208709717
58,152,0.3248912990093231
46,99,0.5614659190177917
53,168,0.0956340804696083
43,122,0.28215160965919495
49,67,0.4253294765949249
9,132,0.40158846974372864
63,84,0.2731071412563324
22,91,0.45899608731269836
91,170,0.2955808937549591
15,120,0.38050806522369385
77,78,0.4345201551914215
60,195,0.2080536186695099
2,78,0.49397316575050354
82,107,0.29441243410110474
2,190,0.5153980255126953
28,150,0.38148218393325806
96,175,0.32494351267814636
88,112,0.20857614278793335
88,157,0.2257942259311676
2,111,0.1212865561246872
60,66,0.11014585942029953
2,187,0.3040170967578888
86,96,0.14559216797351837
2,100,0.29180485010147095
31,99,0.3265332281589508
31,123,0.4504924416542053
59,81,0.595738410949707
31,80,0.21313853561878204
57,94,0.14583149552345276
81,103,0.5550127029418945
18,169,0.5202122926712036
67,134,0.3392028510570526
99,180,0.42062798142433167
59,95,0.44665637612342834
81,82,0.3594512939453125
31,198,0.28013819456100464
18,82,0.3453332185745239
67,114,0.17747755348682404
74,179,0.20057052373886108
45,132,0.3395707905292511
18,63,0.48835939168930054
31,129,0.3927898108959198
18,150,0.38048169016838074
40,135,0.6094357967376709
45,129,0.24044464528560638
74,90,0.37643295526504517
40,176,0.3868364691734314
74,86,0.25764304399490356
40,72,0.4547910988330841
41,168,0.4179205000400543
74,104,0.14224238693714142
45,197,0.2075354903936386
36,150,0.3736085891723633
48,143,0.6070136427879333
62,142,0.48282352089881897
175,182,0.2991172671318054
6,88,0.3859935998916626
62,147,0.39813658595085144
6,132,0.358273446559906
120,146,0.4271848201751709
24,132,0.430255651473999
79,181,0.33978816866874695
33,108,0.4419685900211334
11,79,0.15950225293636322
187,195,0.17614929378032684
47,113,0.25457674264907837
47,82,0.29480358958244324
48,132,0.4267694354057312
24,140,0.5919621586799622
146,158,0.4588954746723175
79,157,0.08210800588130951
11,199,0.06770902872085571
120,191,0.5016916990280151
124,198,0.49305272102355957
47,58,0.17132823169231415
79,119,0.3213058114051819
47,159,0.33688703179359436
44,164,0.3040124475955963
1,2,0.3173929452896118
44,163,0.2099418193101883
155,188,0.32504934072494507
121,198,0.31472331285476685
121,123,0.3838210999965668
109,149,0.3708330988883972
109,136,0.45507144927978516
136,159,0.40292736887931824
151,184,0.4228556454181671
169,170,0.4402967095375061
109,192,0.3112454414367676
118,149,0.3952872157096863
151,158,0.5129269957542419
104,177,0.12251293659210205
104,128,0.2743239998817444
178,182,0.4167783260345459
172,173,0.43366482853889465
107,139,0.4418237507343292
156,163,0.26018041372299194
162,195,0.21079112589359283
100,150,0.26693037152290344
144,167,0.35457077622413635
117,184,0.29006633162498474
181,187,0.5709097385406494
110,170,0.14864575862884521
122,136,0.39864596724510193
107,109,0.3072099983692169
143,172,0.5009860992431641
117,189,0.3280429542064667
111,131,0.09279006719589233
113,185,0.12857350707054138
103,129,0.41463491320610046
110,145,0.4277604818344116
162,165,0.2450707107782364
100,108,0.2930825650691986
103,181,0.4733417332172394
122,169,0.42809584736824036
107,165,0.20320136845111847
103,175,0.34772148728370667
105,161,0.2027430236339569
106,193,0.2260027676820755
111,159,0.2213786542415619
113,179,0.13224080204963684
143,174,0.4533030092716217
108,161,0.2698615491390228
129,136,0.5619411468505859
138,144,0.25421032309532166
190,192,0.4727509021759033
180,188,0.26438289880752563
129,170,0.4067906439304352
127,132,0.28754305839538574
125,188,0.30952054262161255
138,175,0.23732246458530426
112,137,0.1679053008556366
189,192,0.41097143292427063
126,184,0.38570016622543335
112,186,0.2865455150604248
141,197,0.3545754551887512
127,170,0.1739552766084671
131,146,0.20840679109096527
140,188,0.2873283624649048
129,187,0.41521918773651123
177,185,0.2157529890537262
142,178,0.36930057406425476
179,193,0.23030227422714233
23,40,0.502068817615509
97,108,0.35457128286361694
35,48,0.6345781087875366
3,188,0.3725035488605499
97,145,0.36217033863067627
97,98,0.5171878337860107
3,111,0.1649269312620163
27,96,0.3101138174533844
3,157,0.4682396948337555
89,135,0.5740243196487427
97,133,0.6124051809310913
3,72,0.5852161049842834
89,165,0.13702481985092163
27,112,0.19343456625938416
26,99,0.4750577509403229
42,194,0.13855329155921936
19,121,0.2385237067937851
73,101,0.6213277578353882
56,198,0.13977058231830597
50,145,0.42003461718559265
26,139,0.5053026080131531
98,186,0.5277484059333801
10,86,0.36509090662002563
66,82,0.2985939383506775
64,178,0.2735448181629181
39,127,0.33016541600227356
92,122,0.2678902745246887
64,81,0.6354206800460815
92,171,0.28275468945503235
92,156,0.07728230208158493
10,123,0.5934762358665466
56,161,0.1747806817293167
0,78,0.3816600739955902
72,103,0.6374026536941528
39,199,0.34350523352622986
42,107,0.11496341973543167
73,169,0.404700368642807
26,79,0.5917463898658752
19,23,0.4230652451515198
50,97,0.20399120450019836
10,102,0.5189211964607239
39,83,0.35927388072013855
68,175,0.2484293431043625
85,194,0.33384543657302856
13,55,0.5669912695884705
13,130,0.31141412258148193
34,35,0.42601636052131653
85,193,0.4874587655067444
20,41,0.407400518655777
20,79,0.15431545674800873
13,186,0.3609265387058258
52,146,0.5808384418487549
29,188,0.31248533725738525
54,156,0.19443561136722565
21,168,0.29699063301086426
90,189,0.5457213521003723
90,182,0.5774480700492859
29,62,0.45930761098861694
17,124,0.36905837059020996
13,151,0.2276533842086792
17,52,0.29128897190093994
17,148,0.2647020220756531
55,81,0.7223005890846252
17,146,0.24018257856369019
21,75,0.2563305199146271
21,192,0.20842406153678894
69,71,0.46052122116088867
17,121,0.18665656447410583
13,99,0.45809534192085266
52,128,0.6242632865905762
94,199,0.21940739452838898
5,95,0.2926231026649475
75,84,0.3775497078895569
5,23,0.39448684453964233
94,148,0.30553609132766724
38,153,0.0592450313270092
38,123,0.30287811160087585
5,120,0.31509867310523987
75,185,0.3292776346206665
71,169,0.5310927629470825
71,91,0.34917959570884705
75,146,0.531270444393158
5,35,0.5286617875099182
94,132,0.2667470872402191
9,169,0.5612689852714539
9,178,0.3776116967201233
83,136,0.3025997281074524
16,140,0.5112723708152771
9,127,0.28383150696754456
61,198,0.4242335557937622
51,97,0.4927312731742859
7,164,0.2295316457748413
9,98,0.41816064715385437
78,176,0.31040459871292114
76,95,0.18777595460414886
78,118,0.4407827854156494
25,29,0.5145174264907837
12,197,0.1984335482120514
83,164,0.47441303730010986
51,191,0.43480977416038513
25,49,0.4504840672016144
25,137,0.36646315455436707
7,129,0.29140159487724304
84,178,0.21738207340240479
7,128,0.4214893579483032
83,110,0.3679141700267792
84,197,0.3060857355594635
16,20,0.31693094968795776
16,116,0.7803596258163452
30,196,0.30742692947387695
9,111,0.17138150334358215
16,92,0.22945116460323334
61,71,0.2944340407848358
46,78,0.5834028124809265
65,199,0.10334431380033493
95,123,0.37787479162216187
14,176,0.058539874851703644
58,67,0.37915337085723877
43,151,0.3526373505592346
49,160,0.12334123998880386
22,197,0.365831583738327
14,62,0.20546534657478333
58,144,0.3757876753807068
37,66,0.21917752921581268
15,85,0.37555429339408875
14,115,0.05750333517789841
43,89,0.2207091748714447
46,51,0.4772590398788452
58,165,0.29696914553642273
14,23,0.10694486647844315
95,187,0.28331851959228516
37,77,0.29671624302864075
53,98,0.09524110704660416
43,134,0.32146644592285156
58,92,0.2308519333600998
22,67,0.27722063660621643
43,194,0.25554531812667847
65,108,0.2846279442310333
46,157,0.48131200671195984
49,191,0.5417120456695557
46,161,0.355035662651062
22,166,0.28152039647102356
82,175,0.28339308500289917
96,185,0.3531041741371155
96,120,0.26204025745391846
96,111,0.03532952815294266
2,149,0.4756948947906494
28,142,0.41996777057647705
60,199,0.15422652661800385
60,100,0.13225367665290833
28,139,0.1778276413679123
60,148,0.2690911293029785
86,99,0.6557058691978455
28,109,0.3231385052204132
28,175,0.24493397772312164
60,189,0.2967488765716553
31,106,0.2638167142868042
31,124,0.45097965002059937
18,196,0.3249657452106476
74,129,0.2731301188468933
40,167,0.6525576710700989
74,189,0.31627562642097473
45,94,0.15102505683898926
18,114,0.1905137002468109
40,171,0.583673357963562
45,188,0.16519568860530853
24,69,0.5924729108810425
82,142,0.4762665331363678
81,162,0.5634888410568237
82,127,0.17610882222652435
45,124,0.39296162128448486
24,182,0.5256234407424927
81,121,0.7198103070259094
31,75,0.2861112356185913
40,75,0.4999145567417145
67,166,0.38230323791503906
36,115,0.2661803066730499
57,83,0.45195749402046204
18,76,0.3180738091468811
74,113,0.4088418781757355
74,114,0.13143907487392426
67,179,0.27132776379585266
41,196,0.3577806055545807
93,125,0.16296429932117462
59,120,0.5047693848609924
1,62,0.32579219341278076
48,188,0.3310554623603821
146,152,0.5594366192817688
124,165,0.459524005651474
62,99,0.550813615322113
47,185,0.29528242349624634
120,165,0.3198746144771576
48,101,0.512829601764679
1,61,0.49437710642814636
47,67,0.3462230861186981
44,62,0.29785001277923584
47,87,0.13818097114562988
1,110,0.3682311475276947
62,116,0.20069031417369843
24,142,0.4473276138305664
11,113,0.047576356679201126
48,180,0.33853593468666077
148,156,0.23431739211082458
120,136,0.2874331474304199
120,199,0.184719979763031
123,174,0.5605294108390808
70,194,0.12408473342657089
44,141,0.3366716802120209
148,168,0.44115737080574036
48,99,0.560145378112793
44,174,0.3760969936847687
24,163,0.38654083013534546
1,19,0.3035052716732025
188,199,0.275079607963562
172,199,0.16513140499591827
136,145,0.24401628971099854
145,146,0.6006855964660645
118,188,0.3055650293827057
136,139,0.3810850977897644
116,130,0.2996264100074768
168,185,0.12342728674411774
151,152,0.6691259145736694
135,176,0.23286700248718262
135,177,0.4515403211116791
153,191,0.24238929152488708
155,161,0.16244857013225555
118,129,0.5102468132972717
113,138,0.13219678401947021
193,195,0.17388194799423218
102,198,0.5062023997306824
101,175,0.35669365525245667
159,183,0.42853379249572754
165,187,0.19759079813957214
159,192,0.4663139581680298
114,125,0.22009946405887604
108,110,0.4301336705684662
137,172,0.21591077744960785
100,117,0.19931340217590332
162,181,0.3742942214012146
137,160,0.01450450997799635
144,195,0.22320754826068878
114,115,0.0900089219212532
105,179,0.2652986943721771
114,123,0.19574496150016785
108,193,0.23192985355854034
144,154,0.4392547309398651
110,121,0.36852961778640747
147,162,0.3605375587940216
