seq1,seq2,similarity
3,61,0.13267453
10,24,0.12060143
39,101,0.1817984
17,130,0.12900041
69,124,0.19629735
30,85,0.18831316
9,181,0.3033645
58,61,0.060479168
49,155,0.13999711
99,122,0.10526046
48,95,0.14522189
142,175,0.034691982
3,103,0.78714913
10,107,0.1259547
39,142,0.08438668
34,134,0.63253576
17,61,0.044420626
69,122,0.073590904
30,158,0.21590523
9,151,0.16509797
58,85,0.10563934
49,85,0.0632288
99,199,0.3671012
48,149,0.11751561
179,180,0.11850551
142,197,0.054222573
10,110,0.89617586
39,118,0.21197914
13,65,0.13099541
17,46,0.06381022
69,171,0.13972366
30,175,0.15679848
9,48,0.18972045
46,180,0.05513507
49,80,0.05246244
99,132,0.12625179
48,142,0.08800392
175,183,0.087857254
179,199,0.15013963
142,180,0.03661572
177,195,0.14713545
39,58,0.21395953
13,113,0.5924797
29,83,0.14428926
69,162,0.08266488
30,142,0.1028504
65,165,0.86203027
58,139,0.21395953
49,101,0.07439718
60,160,0.79532117
67,143,0.22253677
48,146,0.13075699
175,184,0.15406151
142,177,0.090739615
39,185,0.12706743
17,180,0.06818741
4,55,0.35629472
30,180,0.16549325
9,109,1.0
28,161,0.14811043
96,196,0.3730527
99,108,0.29582515
57,157,0.94280905
48,138,0.16696858
175,178,0.031057034
142,149,0.061633814
89,128,0.33331636
73,173,0.5610107
39,158,0.1771459
17,85,0.07758979
4,104,0.43444058
30,130,0.8620949
9,81,0.23521534
49,175,0.052647308
99,105,0.13175875
175,180,0.055821747
89,189,0.30267572
73,115,0.13638453
39,80,0.12819825
50,82,0.105280876
17,175,0.064604945
69,145,0.1370367
30,49,0.34410328
9,75,0.20294851
49,158,0.07249323
67,167,0.838506
175,185,0.05223836
137,161,0.15209392
39,180,0.13578387
50,69,0.1296244
17,185,0.06381022
30,101,0.46481586
49,58,0.08755845
67,119,0.14016002
11,61,0.096905045
137,175,0.1442331
141,195,0.19302149
39,139,1.0
50,71,0.14488006
17,80,0.06437809
32,99,0.14921328
30,185,0.15486966
49,135,0.1750507
99,179,0.13549511
11,14,0.1866672
137,171,0.14523484
39,61,0.08845629
50,123,0.07783394
17,30,0.19153255
32,179,0.13873428
30,64,0.1028388
28,155,0.1383598
31,188,0.34940237
11,144,0.19665371
137,184,0.20342036
66,150,0.058208965
39,178,0.07554483
50,187,0.16530938
17,158,0.08895842
32,197,0.102140896
49,61,0.036198877
31,88,0.10158301
11,122,0.12284822
107,110,0.28300825
127,131,0.1954259
66,131,0.13245328
39,130,0.25688285
50,144,0.16383865
52,78,0.22715177
17,178,0.0379368
32,123,0.24392362
28,128,0.33068633
31,131,0.37645525
11,197,0.072465904
119,167,0.16715446
66,182,0.08031296
39,117,0.14069802
50,150,0.36425832
68,168,1.0
32,122,0.107776836
49,180,0.055566695
11,111,0.5826997
118,124,0.09066015
119,142,0.05149421
66,187,0.12746017
39,46,0.12706743
50,87,0.15982121
52,152,0.78714913
16,116,0.7282227
15,28,0.100507386
49,149,0.37344515
24,124,0.33170325
11,114,0.17053019
118,169,0.0970352
119,198,0.109877884
66,87,0.12322858
50,182,0.104161836
32,156,0.118913956
14,142,0.045948327
49,142,0.034533475
82,87,0.17500503
24,82,0.20808733
118,139,0.21197914
119,143,0.1624441
23,142,0.09435527
66,119,0.09702283
32,132,0.41754398
14,178,0.041133963
49,130,0.35839483
82,150,0.08266639
24,182,0.20587553
118,182,0.09546785
171,175,0.10249037
119,123,0.1927901
23,32,0.1777402
66,166,0.2515624
72,172,0.38248298
32,119,0.09700138
14,46,0.06918789
28,49,0.10505347
82,123,0.08522856
24,159,0.43073544
33,133,0.4383124
171,183,0.09576226
143,167,0.26539677
119,197,0.08072918
23,156,0.1722152
66,183,0.068499625
32,56,0.16419764
14,22,0.07769101
82,182,0.6149793
24,48,0.21418838
33,77,0.20278427
171,184,0.16085508
130,178,0.062013365
119,156,0.093986124
23,119,0.14048067
32,199,0.16534051
61,111,0.096905045
14,117,0.0766097
82,102,0.123291105
24,110,0.121542916
33,177,0.16403109
130,185,0.10430734
119,132,0.08207444
23,123,0.49268222
26,180,0.10505892
32,142,0.06515197
61,130,0.072612144
15,189,0.1092105
82,187,0.1810146
40,184,0.05602043
24,59,0.515834
156,197,0.09896587
130,180,0.111462496
23,132,0.15038887
26,126,0.7124699
85,130,0.12683208
61,178,0.021353982
14,139,0.17039245
40,171,0.08329119
24,138,0.19689797
130,175,0.10560643
23,197,0.19171076
26,80,0.099189766
85,178,0.037299134
83,184,0.062478546
14,39,0.17039245
40,83,0.06926003
24,95,0.17125314
124,162,0.095779516
130,142,0.06927148
133,177,0.16403109
23,56,0.23779656
26,79,0.11946301
85,185,0.23209344
83,171,0.09289311
14,80,0.06980362
22,117,0.064151734
40,175,0.07641564
124,182,0.13233812
109,148,0.2537729
130,158,0.14541583
26,179,0.11168485
85,180,0.06704126
51,126,0.13310897
61,173,0.061980456
14,185,0.06918789
22,30,0.17390299
40,80,0.07614732
124,145,0.15877733
109,181,0.3033645
130,139,0.25688285
26,51,0.09483614
85,175,0.06351902
25,175,0.13383044
61,158,0.05007319
14,61,0.12908517
63,87,0.2422156
36,112,0.17624758
40,183,0.07139924
124,159,0.30383062
109,151,0.16509797
