seq1,seq2,similarity
27,136,0.37235725
27,95,0.35457462
35,38,0.21673654
35,167,0.68436056
89,134,0.4416241
23,88,0.56108093
23,38,0.27663305
97,148,0.58225703
97,114,0.54516584
3,152,0.6224232
3,142,0.6273935
3,119,0.6780057
80,88,0.5029506
80,127,0.37615106
42,135,0.36028147
42,163,0.38142103
98,138,0.578428
0,172,0.30076087
0,128,0.23368852
0,84,0.2622828
66,88,0.49790248
26,91,0.49321568
26,130,0.52828085
10,99,0.6848608
10,179,0.69933504
10,162,0.6145579
73,187,0.5386949
92,111,0.63351417
92,163,0.57379735
56,120,0.49231753
56,119,0.6431449
72,118,0.5397942
64,182,0.55085474
64,87,0.47557235
39,197,0.46761686
39,144,0.6272562
39,183,0.44525626
50,147,0.48905888
50,108,0.36902574
19,50,0.4310288
19,183,0.601816
19,128,0.56445044
20,25,0.6921763
20,52,0.6443726
20,165,0.47000834
21,30,0.56291384
21,105,0.34938934
55,139,0.56637686
55,73,0.5852375
85,137,0.48211905
54,65,0.40291682
90,175,0.5950276
54,77,0.5271636
13,109,0.43455023
13,38,0.21614763
34,89,0.45494056
13,69,0.47637424
52,169,0.551106
68,119,0.519144
68,113,0.47988966
52,85,0.49408853
17,166,0.54044336
29,164,0.26538056
17,107,0.5081144
29,80,0.53101116
29,136,0.4653159
4,134,0.6288836
69,184,0.5392809
69,117,0.39179698
69,86,0.3822984
69,146,0.4679104
75,199,0.7867351
5,184,0.5669063
75,134,0.5437134
5,44,0.4248421
8,79,0.45231664
94,147,0.41630325
8,100,0.41087928
94,138,0.47735712
71,102,0.6495511
38,52,0.23959284
38,153,0.27216613
38,166,0.25197756
76,100,0.378358
12,110,0.6482105
12,158,0.5260402
12,93,0.5502815
76,198,0.351052
25,125,0.51079166
25,105,0.4630336
51,166,0.50767565
51,158,0.5895969
7,42,0.28343502
7,75,0.6953447
7,34,0.66990894
7,135,0.56671095
16,151,0.4273648
32,114,0.30264506
16,74,0.45677543
16,167,0.53388846
61,70,0.5843034
83,106,0.52912414
61,125,0.4982804
78,159,0.46376002
30,75,0.6830966
30,168,0.51780176
78,122,0.73662466
9,158,0.30670676
9,35,0.5558426
9,128,0.49856037
9,197,0.48887724
9,121,0.51522696
58,62,0.5196127
46,161,0.4147542
58,163,0.45443356
46,168,0.49948424
37,180,0.780988
37,181,0.70775706
53,71,0.56976914
37,87,0.6816485
53,176,0.39868182
95,177,0.42080584
91,144,0.49367625
91,158,0.46953446
43,187,0.60969466
43,182,0.62387925
43,108,0.43051627
43,199,0.7209487
14,46,0.4228924
14,39,0.32666582
15,123,0.4296231
15,111,0.43967408
15,25,0.48010868
22,37,0.6577627
63,158,0.36585706
22,142,0.6212713
22,31,0.5045228
28,131,0.48467055
49,56,0.4686449
28,147,0.3926335
28,181,0.4453002
49,176,0.34729102
96,135,0.47587395
60,186,0.53706217
60,87,0.50568426
77,145,0.45697576
2,107,0.4222684
77,163,0.4693503
77,132,0.3846283
86,157,0.4058143
86,104,0.401508
88,102,0.63870966
93,180,0.7161355
82,147,0.53334886
82,172,0.44465438
36,39,0.5463614
36,41,0.5301441
45,135,0.5097398
45,180,0.5927342
99,158,0.52436846
99,151,0.5239562
99,135,0.6830496
67,195,0.49623266
31,70,0.4371082
31,99,0.56805134
41,175,0.5980796
41,51,0.4203449
18,57,0.41686058
18,180,0.5194054
18,195,0.43730494
81,176,0.4356082
81,146,0.50322366
59,175,0.59655976
59,72,0.5844111
40,164,0.37042862
40,161,0.55219775
74,152,0.39751193
74,195,0.45178315
57,186,0.38804662
57,79,0.4433944
24,111,0.59495735
