metodo,sample_size,error
bow,100,0.260
bow,100,0.280
bow,100,0.340
bow,100,0.360
bow,100,0.280
bow,100,0.320
bow,100,0.350
bow,100,0.250
bow,100,0.290
bow,100,0.230
bow,500,0.31
bow,500,0.316
bow,500,0.322
bow,500,0.296
bow,500,0.322
bow,500,0.306
bow,500,0.328
bow,500,0.298
bow,500,0.316
bow,500,0.308
bow,1000,0.309
bow,1000,0.302
bow,1000,0.317
bow,1000,0.315
bow,1000,0.332
bow,1000,0.327
bow,1000,0.292
bow,1000,0.338
bow,1000,0.295
bow,1000,0.322
bow,1500,0.322
bow,1500,0.3153333333
bow,1500,0.3193333333
bow,1500,0.3273333333
bow,1500,0.3166666667
bow,1500,0.3253333333
bow,1500,0.306
bow,1500,0.3166666667
bow,1500,0.326
bow,1500,0.328
bow,2000,0.3055
bow,2000,0.3205
bow,2000,0.302
bow,2000,0.309
bow,2000,0.3125
bow,2000,0.312
bow,2000,0.3265
bow,2000,0.3235
bow,2000,0.3195
bow,2000,0.3165
ft,100,0.31999999999999995
ft,100,0.30000000000000004
ft,100,0.4
ft,100,0.36
ft,100,0.37
ft,100,0.35
ft,100,0.38
ft,100,0.27
ft,100,0.35
ft,100,0.24
ft,500,0.32199999999999995
ft,500,0.34199999999999997
ft,500,0.33599999999999997
ft,500,0.31999999999999995
ft,500,0.33399999999999996
ft,500,0.29600000000000004
ft,500,0.344
ft,500,0.31200000000000006
ft,500,0.34199999999999997
ft,500,0.33399999999999996
ft,1000,0.31599999999999995
ft,1000,0.33299999999999996
ft,1000,0.33599999999999997
ft,1000,0.31799999999999995
ft,1000,0.32899999999999996
ft,1000,0.34299999999999997
ft,1000,0.30900000000000005
ft,1000,0.31699999999999995
ft,1000,0.32899999999999996
ft,1000,0.345
ft,1500,0.33266666666666667
ft,1500,0.32266666666666666
ft,1500,0.32333333333333336
ft,1500,0.32866666666666666
ft,1500,0.3406666666666667
ft,1500,0.3406666666666667
ft,1500,0.32999999999999996
ft,1500,0.33599999999999997
ft,1500,0.32666666666666666
ft,1500,0.3393333333333334
ft,2000,0.3195
ft,2000,0.3425
ft,2000,0.3305
ft,2000,0.3295
ft,2000,0.3305
ft,2000,0.33099999999999996
ft,2000,0.33399999999999996
ft,2000,0.3365
ft,2000,0.344
ft,2000,0.34650000000000003
gtfidf,100,0.25
gtfidf,100,0.3
gtfidf,100,0.32
gtfidf,100,0.39
gtfidf,100,0.29
gtfidf,100,0.36
gtfidf,100,0.36
gtfidf,100,0.29
gtfidf,100,0.28
gtfidf,100,0.27
gtfidf,500,0.32
